ID,Name,LongLat
9130,Jim Beattie Park (north side of Henderson),"44.22794, -76.58182"
9129,Jim Beattie Park (south side of Henderson),"44.22779, -76.58159"
9123,Woodhaven Drive (north side of Princess),"44.26175, -76.59624"
518,Rigney Street (north side of John Counter),"44.2595329508186, -76.5035993233324"
779,442 Dalton Avenue (south side),"44.268805095926, -76.5126690454782"
784,MTO Office (north side of John Counter),"44.2591011989862, -76.5152112767101"
1154,KT Garage - 1181 (Sktgar1),"44.2608699481935, -76.5073289349676"
849,Clyde Court (south side of Cataraqui Woods),"44.26816, -76.56337"
852,Emerald Street (south side of Crossfield),"44.2643, -76.55754"
9074,Augusta Drive (south side of Crossfield),"44.26435, -76.55164"
399,Kingston Gospel Temple (south side of Princess),"44.25801, -76.54824"
406,Friarhill Crescent (north side of Waterloo),"44.25398, -76.55169"
403,Uxbridge Crescent (north side of Waterloo),"44.2544, -76.55546"
589,745 Davis Drive (north side),"44.25603, -76.56429"
410,Centennial Drive (south side of Davis),"44.25163, -76.55596"
634,Midland Avenue (south side of Norwest),"44.25732, -76.57423"
2065,204 Queen Mary Road (west side),"44.23573, -76.53486"
492,Johnson Street (west side of Robert Wallace),"44.2303, -76.52813"
491,Portsmouth Avenue (south side of Johnson),"44.22999, -76.52674"
2070,St. Lawrence College Transfer Point,"44.22372, -76.52642"
751,Baiden Street (west side of Portsmouth),"44.2213, -76.52529"
2069,Beechgrove (south side of King),"44.22047, -76.52292"
455,Yonge Street (south side of Union),"44.22221, -76.51728"
2009,Queen's West Campus (south side of Union),"44.22303, -76.51447"
413,Sir John A Macdonald Blvd. (south side of King),"44.22112, -76.51203"
424,Lower University Avenue (south side of King),"44.22288, -76.49517"
322,Maitland Street (south side of King),"44.22391, -76.48795"
316,Ontario Street (west side of West),"44.22447, -76.48609"
314,Lower Union Street (east side of Ontario),"44.22516, -76.48431"
303,Wellington Street (south side of Johnson),"44.22946, -76.48398"
304,King Street (south side of Johnson),"44.22888, -76.48273"
310,William Street (west side of Ontario),"44.22723, -76.48264"
313,Lower Union Street (west side of Ontario),"44.2251, -76.48459"
315,King Street (east side of West),"44.22471, -76.48608"
321,Maitland Street (north side of King),"44.22384, -76.48835"
425,Lower University Avenue (north side of King),"44.223, -76.4953"
411,The Isabel/Tett Centres (north side of King),"44.2216, -76.50694"
444,Queen's West Campus (north side of Union),"44.22335, -76.51396"
456,Yonge Street (north side of Union),"44.22203, -76.51803"
464,Calderwood Drive (east side of Portsmouth),"44.2244, -76.52542"
493,Johnson Street (east side of Robert Wallace),"44.2303, -76.52798"
2067,Queen Mary Road (north side of Robert Wallace),"44.23449, -76.53305"
2066,211 Queen Mary Road (east side),"44.23595, -76.53485"
2061,Portsmouth Avenue (south side of Bath),"44.23918, -76.53035"
535,Sunny Acres Road (north side of Front),"44.21875, -76.56467"
803,Henderson Boulevard (east side of Lakeview),"44.22801, -76.57242"
567,Henderson Boulevard (east side of McEwen),"44.2285, -76.57362"
607,740 Progress Avenue (north side),"44.24719, -76.57412"
632,Pembridge Crescent (north side of Taylor-Kidd),"44.24921, -76.58535"
606,745 Progress Avenue (south side),"44.24712, -76.57452"
554,Acron Street (west side of McEwen),"44.23137, -76.57403"
550,279 Lakeview Avenue (west side),"44.22547, -76.57234"
33,Invista (south side of Front),"44.21885, -76.55931"
9004,Mona Drive (north side of Taylor-Kidd),"44.25177, -76.6013"
9005,Aylmer Crescent (west side of Collins Bay),"44.24975, -76.61079"
9006,Edwin Street (west side of Collins Bay),"44.24684, -76.61052"
9049,Bath Road (west side of Collins Bay),"44.24171, -76.6101"
21,Homeward Avenue (north side of Bath),"44.2318, -76.62519"
23,Maple Ridge Drive (north side of Bath),"44.22805, -76.62752"
795,Addington Street (east side of Loyalist),"44.22314, -76.63584"
9061,Amherst Drive (east side of Manitou),"44.22723, -76.6511"
2019,Helen Henderson Centre (north side of Amherst),"44.22622, -76.65921"
866,Amherst Drive (west side of Pratt),"44.22183, -76.66738"
869,Jordyn's Court (south side of Kidd),"44.21928, -76.65365"
872,Amherst Drive (east side of Pratt),"44.22194, -76.66725"
787,Pittsfield Street (south side of Amherst),"44.22698, -76.64666"
788,Upper Park Road (south side of Amherst),"44.22599, -76.64246"
792,Loyalist Avenue (west side of Fairfield),"44.22136, -76.63707"
69,Maple Ridge Drive (south side of Bath),"44.22813, -76.62722"
20,Lower Drive (south side of Bath),"44.23559, -76.62122"
9001,Prince Charles Drive (east side of Collins Bay),"44.24681, -76.61035"
9002,Taylor-Kidd Boulevard (east side of Collins Bay),"44.24974, -76.61053"
563,Roosevelt Drive (east side of Knightsbridge),"44.23345, -76.57859"
571,672 Roosevelt Drive (west side),"44.23182, -76.58867"
570,Springfield Drive (west side of Roosevelt),"44.22979, -76.58866"
576,Evangeline Avenue (north side of Acadia),"44.23241, -76.59437"
575,Stoneridge Drive (south side of Coverdale),"44.23726, -76.59225"
2,Downing Street (north side of Hudson),"44.24872, -76.59734"
599,Brookside Drive (north side of Prince Charles),"44.2471, -76.60852"
17,Clark Crescent (east side of Aylmer),"44.24675, -76.61517"
105,768 Aylmer Crescent (east side),"44.24814, -76.61437"
14,808 Aylmer Crescent (south side),"44.24946, -76.61193"
679,Dunham Street (north side of Mona),"44.25336, -76.60434"
623,Woodbine Road (east side of Mona),"44.25782, -76.60357"
603,917 Lancaster Drive (south side),"44.25642, -76.59142"
602,Chancery Street (west side of Lancaster),"44.25457, -76.58996"
77,Loblaws (east side of Midland),"44.26051, -76.57397"
742,Peachwood Street (west side of Birchwood),"44.27042, -76.57856"
655,Pinewood Place (north side of Cedarwood),"44.26207, -76.58057"
658,Pinewood Place (south side of Cedarwood),"44.26245, -76.58239"
75,Sierra Avenue (south side of Tivoli),"44.2727, -76.57689"
648,Walmart (west side of Midland),"44.26333, -76.57423"
566,860 Norwest Road (north side),"44.25744, -76.57469"
735,Ridley Drive (north side of Norwest),"44.25726, -76.57702"
552,Sutton Mills Court (west side of Ridley),"44.2558, -76.57603"
548,Old Colony Road (north side of Ridley),"44.25399, -76.57729"
661,Bayridge Drive (north side of Old Colony),"44.25538, -76.58632"
673,Lancaster Drive (east side of Liston),"44.25275, -76.594"
665,Newhall Drive (north side of Lancaster),"44.25653, -76.59175"
758,Woodbine Road (east side of Limestone),"44.25839, -76.59508"
669,Mona Drive (north side of Woodbine),"44.25804, -76.60308"
670,Palmerston Crescent (north side of Mona),"44.25602, -76.60478"
678,Humberside Drive (west side of Mona),"44.255, -76.60663"
540,Woodside Drive (west side of Mona),"44.25281, -76.60232"
530,723 Aylmer Crescent (west side),"44.24639, -76.61557"
532,1347 Waverley Crescent (south side),"44.24546, -76.61384"
469,Glen Cove Street (south side of Prince Charles),"44.24697, -76.60934"
682,1121 Hudson Drive (south side),"44.24847, -76.59985"
627,917 Development Drive (south side),"44.24102, -76.58479"
68,Truedell Road (south side of Development),"44.24072, -76.57976"
597,McKay Street (south side of Development),"44.24125, -76.5765"
608,Justus Drive (south side of Development),"44.24159, -76.57217"
698,Vista Drive (north side of Bath),"44.23735, -76.58415"
27,1189 Acadia Drive (west side of Acadia),"44.23532, -76.59868"
26,Sackville Crescent (south side of Acadia),"44.23292, -76.59806"
11,1071 Acadia Drive (south side),"44.23231, -76.59435"
405,717 Roosevelt Drive (east side),"44.22964, -76.58854"
588,543 Roosevelt Drive (south side),"44.23441, -76.58447"
684,Lakeview Avenue (south side of Cranbrook),"44.21949, -76.57183"
2052,Westdale Avenue (south side of Bath),"44.24075, -76.51358"
361,Macdonnell Street (south side of Princess),"44.2384, -76.50535"
359,Victoria Street (south side of Princess),"44.23757, -76.5033"
277,University Avenue (south side of Princess),"44.23426, -76.4953"
273,Princess Street (east side of Division),"44.23271, -76.49274"
278,University Avenue (north side of Princess),"44.23467, -76.49589"
364,Tower Street (north side of Princess),"44.23975, -76.50815"
504,Kingston Centre Transfer Point Platform 1,"44.24223, -76.51695"
43,Parkway (north side of Princess),"44.25137, -76.53297"
400,Andersen Drive (north side of Princess),"44.25822, -76.54973"
816,940 Gardiners Road (west side),"44.2573, -76.56888"
9231,Taylor-Kidd Boulevard (west side of Gardiners),"44.25095, -76.56854"
9046,RioCan at Petsmart (south side of driveway),"44.24822, -76.56686"
9026,Arbour Heights (east side of Tanner),"44.23938, -76.55941"
506,Kingston Centre Transfer Point Platform 5,"44.24191, -76.5169"
510,Queen Mary Road (north side of Bath),"44.23877, -76.53689"
731,Owens Crescent (north side of Kingsdale),"44.24172, -76.54454"
519,259 Kingsdale Avenue (north side),"44.24162, -76.54769"
9023,Dolshire Street (north side of Malabar),"44.24251, -76.55369"
528,1600 Bath Road (north side),"44.2372, -76.56387"
9045,RioCan at Best Buy (north side of driveway),"44.24832, -76.56658"
745,First Canada Avenue (west side of Division),"44.26419, -76.49859"
349,Victoria Street (north side of Brock),"44.23282, -76.5032"
9030,Frontenac Mall (north side of Bath),"44.23793, -76.54582"
